,year,artist,track,time,genre,date_enter,date_peak,week,peak_rank,daystopeak
0,2000,Destiny's Child,Independent Women Part I,3:38,Rock,2000-09-23,2000-11-18,1.0,78.0,56 days 00:00:00.000000000
1,2000,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,1.0,15.0,56 days 00:00:00.000000000
2,2000,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,1.0,71.0,98 days 00:00:00.000000000
3,2000,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,1.0,41.0,35 days 00:00:00.000000000
4,2000,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,1.0,57.0,70 days 00:00:00.000000000
5,2000,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,1.0,59.0,70 days 00:00:00.000000000
6,2000,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,1.0,83.0,84 days 00:00:00.000000000
7,2000,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,1.0,63.0,84 days 00:00:00.000000000
8,2000,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,1.0,77.0,49 days 00:00:00.000000000
9,2000,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,1.0,81.0,273 days 00:00:00.000000000
10,2000,N'Sync,It's Gonna Be Me,3:10,Rock,2000-05-06,2000-07-29,1.0,82.0,84 days 00:00:00.000000000
11,2000,"Aguilera, Christina",What A Girl Wants,3:18,Rock,1999-11-27,2000-01-15,1.0,71.0,49 days 00:00:00.000000000
12,2000,Vertical Horizon,Everything You Want,4:01,Rock,2000-01-22,2000-07-15,1.0,70.0,175 days 00:00:00.000000000
13,2000,Creed,With Arms Wide Open,3:52,Rock,2000-05-13,2000-11-11,1.0,84.0,182 days 00:00:00.000000000
14,2000,Aaliyah,Try Again,4:03,Rock,2000-03-18,2000-06-17,1.0,59.0,91 days 00:00:00.000000000
15,2000,matchbox twenty,Bent,4:12,Rock,2000-04-29,2000-07-22,1.0,60.0,84 days 00:00:00.000000000
16,2000,"Carey, Mariah",Thank God I Found You,4:14,Rock,1999-12-11,2000-02-19,1.0,82.0,70 days 00:00:00.000000000
17,2000,"Hill, Faith",Breathe,4:04,Rap,1999-11-06,2000-04-22,1.0,81.0,168 days 00:00:00.000000000
