psoda,pfries,pentree,wagest,nmgrs,nregs,hrsopen,emp,compown,chain,density,crmrte,state,prpblck,prppov,prpncar,hseval,nstores,income,county,NJ,BK,KFC,RR,ID
1.12,1.06,1.02,4.25,3,5,16,27.5,1,3,4030,0.0528866,1,0.1711542,0.0365789,0.0788428,148300,3,44534,18,1,0,0,1,1
1.06,0.91,0.95,4.75,3,3,16.5,21.5,0,1,4030,0.0528866,1,0.1711542,0.0365789,0.0788428,148300,3,44534,18,1,1,0,0,2
1.06,0.91,0.98,4.25,3,5,18,30,0,1,11400,0.0360003,1,0.0473602,0.0879072,0.2694298,169200,3,41164,12,1,1,0,0,3
1.12,1.02,1.06,5,4,5,16,27.5,0,3,8345,0.0484232,1,0.0528394,0.0591227,0.1366903,171600,3,50366,10,1,0,0,1,4
1.12,,0.49,5,3,3,16,5,0,1,720,0.061589,1,0.03448,0.0254145,0.073802,249100,1,72287,10,1,1,0,0,5
1.06,0.95,1.01,4.25,4,4,15,17.5,0,1,4424,0.0334823,1,0.0591327,0.0835001,0.1151341,148000,2,44515,18,1,1,0,0,6
1.17,0.95,0.95,4.65,3,2,16,22.5,0,1,2678,0.0310296,1,0.0186773,0.0292349,0.0501854,212700,1,62056,10,1,1,0,0,7
1.17,1.02,1.06,4.5,3,5,17,18.5,1,3,6405,0.0419001,1,0.004906,0.0337599,0.0827105,198800,1,53655,24,1,0,0,1,8
1.18,1.02,1.06,,4,4,17,17,0,1,18388,0.0945454,1,0.9210559,0.2036816,0.391949,103800,5,31314,10,1,1,0,0,9
1.17,1.12,1.02,4.25,3,5,18,27,1,3,18388,0.0945454,1,0.9210559,0.2036816,0.391949,103800,5,31314,10,1,0,0,1,10
1.06,1.02,2.34,4.75,3,5,12,11,1,2,18388,0.0945454,1,0.9210559,0.2036816,0.391949,103800,5,31314,10,1,0,1,0,11
1.06,1.05,1.06,4.5,4,2,15.5,20,0,4,18388,0.0945454,1,0.9210559,0.2036816,0.391949,103800,5,31314,10,1,0,0,0,12
1.05,0.95,2.74,4.25,3,5,13.5,17,0,2,11401,0.14823,1,0.9210559,0.2036816,0.391949,103800,5,31314,10,1,0,1,0,13
1.17,1.06,1.17,4.35,4,,15,7.5,1,1,12627,0.0304465,1,0.0139109,0.0845399,0.2272727,191300,1,38569,2,1,1,0,0,14
1.15,0.95,0.95,4.5,2,2,16,8,0,1,12799,0.0375348,1,0.0102124,0.0598162,0.1416858,282800,2,60657,2,1,1,0,0,15
1.27,1.17,1.1,5,4,4,16.5,20,0,1,12799,0.0375348,1,0.0102124,0.0598162,0.1416858,282800,2,60657,2,1,1,0,0,16
1.06,0.91,0.98,5.56,4,5,16,37.5,0,1,6039,0.031701,1,0.0060904,0.0386507,0.0757396,167700,2,47891,28,1,1,0,0,17
1.06,0.98,1.06,4.62,3,2,12.5,16.5,0,4,11187,0.0508752,1,0.0035406,0.1118771,0.2258587,138000,1,36705,12,1,0,0,0,18
1.06,0.91,0.98,4.25,5,4,16,24,0,1,3750,0.0607903,1,0.0104519,0.0608489,0.1745955,166500,1,43022,12,1,1,0,0,19
1.2,1.02,1.02,5.5,3,5,13.5,19,0,3,1901,0.034011,1,0.0073866,0.0135908,0.0190736,245400,3,79025,10,1,0,0,1,20
0.95,0.95,1.06,4.5,3,4,13.5,23,0,1,1901,0.034011,1,0.0073866,0.0135908,0.0190736,245400,3,79025,10,1,1,0,0,21
1.11,0.95,1.01,4.25,4,2,16,17.5,0,1,5413,0.0518659,1,0.120063,0.0322987,0.0735369,198800,1,65296,10,1,1,0,0,22
1.02,1.02,0.95,,3,3,16,,0,1,6085,0.0554746,1,0.4336102,0.0765275,0.150848,245900,1,56893,10,1,1,0,0,23
1.06,0.98,1.06,5,3,,14,17,0,4,8966,0.0527327,1,0.022127,0.0927505,0.2365868,173500,3,40719,12,1,0,0,0,24
